"ZCTA","Total_Doses","People_1_dose","People_all_doses"
"77420",216,151,65
"77422",1590,1196,394
"77423",2011,1479,532
"77426",422,347,75
"77428",0,0,0
"77429",13300,8844,4456
"77430",356,254,102
"77432",25,15,10
"77433",15697,10440,5257
"77434",710,518,192
"77435",710,494,216
"77436",26,20,6
"77437",2250,1405,845
"77440",30,19,11
"77441",4821,3205,1616
"77442",207,127,80
"77443",56,41,15
"77444",97,73,24
"77445",1608,1098,510
"77446",158,107,51
"77447",1745,1194,551
"77448",111,84,27
"77449",12101,8173,3928
"77450",13360,8957,4403
"77451",134,112,22
"77453",25,16,9
"77454",32,28,0
"77455",186,120,66
"77456",130,87,43
"77457",113,77,36
"77458",57,40,17
"77459",25196,16401,8795
"77460",36,23,13
"77461",1680,1140,540
"77464",86,61,25
"77465",718,464,254
"77466",101,69,32
"77467",11,7,0
"77468",29,21,8
"77469",13391,8968,4423
"77470",58,36,22
"77471",5794,3971,1823
"77473",48,30,18
"77474",1776,1259,517
"77475",150,96,54
"77476",148,96,52
"77477",6643,4378,2265
"77478",11262,7346,3916
"77479",35806,23118,12688
"77480",1278,907,371
"77481",54,38,16
"77482",219,145,74
"77483",27,21,6
"77484",1418,994,424
"77485",412,286,126
"77486",1386,925,461
"77488",2161,1468,693
"77489",6717,4615,2102
"77493",6839,4567,2272
"77494",24376,16187,8189
"77498",12233,8111,4122
"77502",3398,2213,1185
"77503",2376,1546,830
"77504",3106,1987,1119
"77505",4215,2720,1495
"77506",2433,1611,822
"77507",70,44,26
"77510",2663,1691,972
"77511",6455,4347,2108
"77514",992,695,297
"77515",5319,3659,1660
"77517",980,634,346
"77518",1033,687,346
"77519",98,68,30
"77520",4217,2737,1480
"77521",8276,5305,2971
"77523",3716,2536,1180
"77530",2388,1621,767
"77531",1537,1147,390
"77532",3591,2405,1186
"77533",71,41,30
"77534",452,306,146
"77535",3056,1963,1093
"77536",5009,3247,1762
"77538",136,84,52
"77539",7653,4874,2779
"77541",1512,1127,385
"77545",3499,2374,1125
"77546",13407,8641,4766
"77547",854,581,273
"77550",8707,5213,3494
"77551",6543,3901,2642
"77554",4523,2711,1812
"77560",130,95,35
"77561",134,79,55
"77562",1282,857,425
"77563",2004,1300,704
"77564",185,117,68
"77565",1851,1207,644
"77566",5150,3639,1511
"77568",4048,2584,1464
"77571",4730,3029,1701
"77573",22375,14227,8148
"77575",2162,1323,839
"77577",227,155,72
"77578",5678,3641,2037
"77580",268,173,95
"77581",10915,6914,4001
"77583",5128,3411,1717
"77584",24753,15432,9321
"77585",89,63,26
"77586",4819,3050,1769
"77587",1394,940,454
"77590",5254,3379,1875
"77591",3345,2150,1195
"77597",122,84,38
"77598",3442,2296,1146
"77611",1240,964,276
"77612",1439,976,463
"77613",175,140,35
"77614",123,92,31
"77615",205,133,72
"77616",139,99,40
"77617",50,35,15
"77619",2010,1497,513
"77622",290,204,86
"77623",59,42,17
"77624",168,121,47
"77625",1529,1080,449
"77627",3848,2744,1104
"77629",127,100,27
"77630",3265,2589,676
"77632",3103,2436,667
"77640",3451,2364,1084
"77642",4849,3523,1326
"77650",804,534,270
"77651",2524,1772,752
"77655",38,29,9
"77656",2768,2003,765
"77657",4424,3152,1272
"77659",1058,698,360
"77660",192,141,51
"77661",136,100,36
"77662",2928,2186,742
"77663",510,349,161
"77664",568,393,175
"77665",1288,930,358
"77701",1355,1082,268
"77702",473,339,134
"77703",1068,878,190
"77705",3204,2488,716
"77706",7986,5701,2285
"77707",3579,2603,976
"77708",1788,1355,433
"77713",2549,1848,701
"77801",974,727,247
"77802",6808,5089,1719
"77803",2596,1972,624
"77807",2012,1431,581
"77808",3058,2326,732
"77830",475,358,109
"77831",504,359,145
"77833",6388,4813,1575
"77835",559,462,97
"77836",1764,1310,444
"77837",192,153,39
"77840",3378,2546,832
"77845",14570,10744,3823
"77853",123,92,31
"77855",37,26,11
"77856",891,644,247
"77857",194,123,71
"77859",1225,908,317
"77861",507,390,117
"77864",912,619,293
"77865",222,155,67
"77867",0,0,0
"77868",2142,1529,613
"77871",534,384,150
"77872",225,172,53
"77873",176,144,32
"77876",28,22,6
"77878",90,69,21
"77879",884,687,197
"77880",360,285,75
"77901",6302,4393,1909
"77904",7989,5361,2628
"77905",3083,2081,1002
"77950",55,35,20
"77951",212,153,59
"77954",1531,1019,507
"77957",2226,1239,987
"77960",22,15,7
"77961",19,12,7
"77962",975,562,413
"77963",1568,946,622
"77964",2145,1330,815
"77968",672,441,231
"77969",21,12,9
"77970",67,38,29
"77971",207,118,89
"77973",0,0,0
"77974",54,39,15
"77975",363,235,128
"77976",44,27,17
"77977",88,59,29
"77978",84,59,25
"77979",2444,1706,738
"77982",243,173,70
"77983",231,165,66
"77984",894,623,271
"77987",26,18,8
"77988",81,56,25
"77990",136,88,48
"77991",98,54,44
"77993",8,0,0
"77994",47,28,19
"77995",1231,832,399
"78001",12,8,0
"78002",1240,831,409
"78003",1220,907,313
"78004",118,79,39
"78005",140,109,31
"78006",9631,6500,3131
"78007",21,16,0
"78008",65,37,28
"78009",1831,1244,587
"78010",300,196,104
"78011",221,147,74
"78012",29,23,6
"78013",1038,710,328
"78014",2141,1493,648
"78015",5744,3667,2077
"78016",1529,1099,430
"78017",664,493,171
"78019",525,340,185
"78021",21,14,7
"78022",1133,700,433
"78023",8344,5228,3116
"78024",272,202,70
"78025",506,362,144
"78026",801,527,274
"78027",80,60,20
"78028",6278,4342,1936
"78029",111,76,35
"78039",256,182,74
"78040",6817,4846,1971
"78041",14380,10032,4348
"78043",7519,5376,2143
"78044",139,107,32
"78045",20920,14677,6243
"78046",9182,6833,2349
"78050",97,60,37
"78052",1173,781,392
"78055",220,159,61
"78056",556,353,203
"78057",198,139,59
"78058",169,129,40
"78059",840,591,249
"78060",21,12,9
"78061",2183,1529,654
"78063",1483,975,508
"78064",2467,1572,895
"78065",1495,994,501
"78066",179,118,61
"78067",159,113,46
"78069",827,513,314
"78070",3691,2541,1150
"78071",740,452,288
"78072",119,81,38
"78073",1154,744,410
"78075",20,15,0
"78076",2274,1712,562
"78101",1465,965,500
"78102",8987,5021,3966
"78104",471,262,209
"78107",145,80,65
"78108",5453,3627,1826
"78109",5254,3410,1844
"78112",1139,750,389
"78113",447,293,154
"78114",4262,2636,1626
"78116",50,36,14
"78117",89,52,37
"78118",841,517,324
"78119",1137,708,429
"78121",2328,1509,819
"78122",71,48,23
"78123",368,285,83
"78124",881,629,252
"78125",54,30,24
"78130",13366,9752,3614
"78132",7717,5580,2137
"78133",3403,2555,848
"78140",296,221,75
"78141",135,87,48
"78142",127,72,55
"78143",11,8,0
"78144",8,7,0
"78145",105,61,44
"78146",223,124,99
"78147",413,256,157
"78148",2805,1853,952
"78150",0,0,0
"78151",279,164,115
"78152",595,385,210
"78154",6414,4352,2062
"78155",8002,6140,1859
"78159",96,71,25
"78160",666,462,204
"78161",85,55,30
"78162",133,73,60
"78163",2823,1884,939
"78164",457,308,149
"78201",8107,5202,2905
"78202",1479,977,502
"78203",827,548,279
"78204",2595,1691,904
"78205",670,439,221
"78207",6271,4171,2100
"78208",469,317,152
"78209",13630,8621,5009
"78210",6498,4213,2285
"78211",4507,2933,1574
"78212",6662,4269,2393
"78213",7859,5106,2753
"78214",4208,2809,1399
"78215",992,595,397
"78216",7929,5134,2790
"78217",4706,3075,1623
"78218",4757,3098,1659
"78219",1772,1159,613
"78220",2332,1600,732
"78221",6567,4262,2305
"78222",3615,2324,1291
"78223",9936,6370,3566
"78224",3487,2274,1213
"78225",2385,1593,792
"78226",1090,719,371
"78227",6271,4146,2125
"78228",11678,7601,4077
"78229",8080,4878,3202
"78230",12648,7913,4732
"78231",3454,2169,1285
"78232",8748,5639,3109
"78233",6252,4083,2169
"78234",96,59,37
"78235",454,272,182
"78236",41,27,14
"78237",5423,3561,1862
"78238",4806,3023,1783
"78239",4450,3029,1421
"78240",13665,8563,5100
"78242",3596,2365,1231
"78243",7,7,0
"78244",3558,2334,1224
"78245",12886,8270,4616
"78247",8919,5722,3197
"78248",5498,3436,2062
"78249",12427,7800,4627
"78250",11679,7408,4271
"78251",9935,6248,3687
"78252",1791,1120,671
"78253",12929,8285,4644
"78254",13657,8528,5129
"78255",5603,3508,2095
"78256",3485,2188,1297
"78257",4406,2789,1617
"78258",14059,9070,4989
"78259",6088,3900,2188
"78260",8348,5359,2989
"78261",4965,3174,1791
"78263",1059,718,341
"78264",1623,1060,563
"78266",1797,1211,586
"78330",290,187,103
"78332",11501,7203,4298
"78335",65,48,17
"78336",1643,1208,435
"78338",33,19,14
"78339",326,203,123
"78340",112,64,48
"78341",763,478,285
"78342",242,147,95
"78343",1669,1005,664
"78344",114,94,20
"78349",194,115,79
"78351",234,149,85
"78352",96,64,32
"78353",100,64,36
"78355",1888,1216,672
"78357",792,610,182
"78358",446,319,127
"78359",331,244,87
"78361",1905,1292,613
"78362",1210,853,357
"78363",12639,7482,5157
"78368",2110,1364,746
"78369",48,34,14
"78370",1152,779,373
"78371",21,16,0
"78372",1109,754,355
"78373",1400,979,421
"78374",3608,2480,1128
"78375",776,506,270
"78376",107,74,33
"78377",983,566,417
"78379",885,518,367
"78380",6173,4000,2173
"78382",4779,3291,1488
"78383",886,593,293
"78384",1998,1351,647
"78385",156,86,70
"78387",1861,1310,551
"78389",680,394,286
"78390",890,617,273
"78391",103,62,41
"78393",476,304,172
"78401",1044,771,273
"78402",209,142,67
"78404",3773,2497,1276
"78405",2574,1755,819
"78406",177,126,51
"78407",228,160,68
"78408",1764,1221,543
"78409",455,315,140
"78410",6396,4211,2185
"78411",7807,5065,2742
"78412",8206,5436,2770
"78413",10918,7104,3814
"78414",14429,9266,5163
"78415",8180,5587,2590
"78416",2569,1805,764
"78417",723,492,231
"78418",6999,4731,2268
"78419",10,8,0
"78501",16185,10223,5962
"78503",7293,4659,2634
"78504",20004,12026,7978
"78516",5963,4022,1941
"78520",16409,10215,6194
"78521",18364,11545,6819
"78526",14897,9156,5741
"78535",220,143,77
"78536",57,42,15
"78537",5328,3611,1717
"78538",1555,1087,468
"78539",14187,8766,5421
"78541",9145,5875,3270
"78542",11577,7509,4068
"78543",1362,948,414
"78545",94,76,18
"78548",402,292,110
"78549",97,71,26
"78550",13519,8552,4967
"78552",9594,6032,3562
"78557",2985,2020,965
"78558",311,210,101
"78559",2684,1655,1029
"78560",992,639,353
"78561",88,58,30
"78562",314,219,95
"78563",164,100,64
"78564",47,35,12
"78565",106,70,36
"78566",5184,3036,2148
"78567",121,74,47
"78569",900,572,328
"78570",4854,3189,1665
"78572",21694,14553,7141
"78573",6792,4371,2421
"78574",8357,5470,2887
"78575",2310,1372,938
"78576",1299,854,445
"78577",13587,9098,4489
"78578",3139,2034,1105
"78579",362,242,120
"78580",2556,1577,979
"78582",8517,6339,2178
"78583",1497,980,517
"78584",3586,2636,950
"78585",63,47,16
"78586",9254,5768,3486
"78588",69,56,13
"78589",7465,4875,2590
"78590",88,55,33
"78591",80,58,22
"78592",111,72,39
"78593",985,674,311
"78594",399,251,148
"78595",667,453,214
"78596",12718,8291,4427
"78597",3685,2419,1266
"78598",107,75,32
"78602",4323,3209,1114
"78605",496,349,147
"78606",1141,805,336
"78607",32,29,0
"78608",47,31,16
"78609",265,218,47
"78610",7570,5177,2393
"78611",1812,1294,518
"78612",1396,1001,395
"78613",12505,8700,3805
"78614",88,63,25
"78615",182,124,58
"78616",748,521,227
"78617",2015,1344,671
"78618",101,68,33
"78619",1373,957,416
"78620",3591,2594,997
"78621",3177,2323,854
"78622",59,45,14
"78623",391,289,102
"78624",6073,4026,2047
"78626",4924,3307,1613
"78628",7459,5282,2177
"78629",2438,1681,752
"78631",319,220,99
"78632",181,129,52
"78633",10497,7891,2606
"78634",3898,2562,1336
"78635",24,18,6
"78636",842,615,227
"78638",295,224,71
"78639",1124,916,208
"78640",8383,5719,2664
"78641",11085,7540,3545
"78642",2163,1443,720
"78643",1112,830,282
"78644",2677,1893,784
"78645",2129,1491,638
"78648",1470,1081,389
"78650",195,155,40
"78652",1529,1010,519
"78653",3476,2300,1176
"78654",2784,2060,724
"78655",470,320,150
"78656",253,188,65
"78657",1671,1295,376
"78659",425,313,112
"78660",14407,9790,4617
"78661",48,39,9
"78662",274,194,80
"78663",206,146,60
"78664",6938,4736,2202
"78665",9476,6413,3063
"78666",9903,6866,3037
"78669",2120,1555,565
"78670",44,33,11
"78671",182,111,71
"78672",138,111,27
"78675",36,26,10
"78676",4073,2805,1268
"78677",7,6,0
"78681",9540,6549,2991
"78701",2743,1838,905
"78702",3690,2597,1093
"78703",6884,4581,2303
"78704",8947,6167,2776
"78705",3348,2224,1124
"78712",79,52,27
"78717",6035,4270,1759
"78719",166,115,51
"78721",1337,923,414
"78722",1653,1095,558
"78723",6363,4300,2063
"78724",2344,1616,728
"78725",1160,784,376
"78726",2627,1790,837
"78727",5319,3605,1714
"78728",3257,2183,1074
"78729",4078,2787,1291
"78730",2292,1571,721
"78731",9841,6421,3420
"78732",3789,2633,1156
"78733",2260,1566,694
"78734",5315,3643,1672
"78735",5544,3581,1963
"78736",1951,1310,641
"78737",4690,3322,1368
"78738",6275,4385,1890
"78739",4885,3369,1516
"78741",4467,2997,1470
"78742",73,53,20
"78744",5001,3328,1673
"78745",9523,6478,3045
"78746",9675,6472,3203
"78747",3393,2258,1135
"78748",10166,6841,3325
"78749",7670,5226,2444
"78750",6395,4401,1994
"78751",4010,2528,1482
"78752",2410,1653,757
"78753",5662,3830,1832
"78754",3570,2383,1181
"78756",2136,1429,707
"78757",5262,3563,1699
"78758",6091,4013,2071
"78759",11039,7337,3702
"78801",6318,4037,2281
"78802",328,201,127
"78827",644,444,200
"78828",59,43,16
"78829",188,130,58
"78830",175,136,39
"78832",599,420,179
"78833",443,302,141
"78834",3397,2359,1038
"78836",57,42,15
"78837",46,28,18
"78838",249,155,94
"78839",2690,2094,596
"78840",8764,5274,3490
"78843",0,0,0
"78850",282,185,97
"78851",0,0,0
"78852",6645,5265,1380
"78860",22,18,0
"78861",2471,1679,792
"78870",219,138,81
"78871",6,0,0
"78872",435,310,125
"78873",480,340,140
"78877",53,48,0
"78879",118,81,37
"78880",143,108,35
"78881",618,374,244
"78883",68,46,22
"78884",244,159,85
"78885",42,32,10
"78886",96,68,28
"78931",56,41,15
"78932",214,167,47
"78933",379,242,137
"78934",1964,1228,736
"78935",210,134,76
"78938",54,36,18
"78940",474,356,118
"78941",399,303,96
"78942",1244,912,329
"78943",69,43,26
"78944",113,84,29
"78945",2032,1513,518
"78946",141,107,34
"78947",515,371,144
"78948",125,90,35
"78949",111,78,33
"78950",539,387,152
"78951",11,9,0
"78953",121,84,37
"78954",321,266,50
"78956",1082,772,310
"78957",1186,894,292
"78959",310,198,112
"78962",1326,854,472
"78963",120,97,23
"79001",45,26,19
"79003",47,31,16
"79005",290,208,82
"79007",2379,1560,819
"79009",442,263,179
"79010",162,91,71
"79011",101,65,36
"79012",202,117,85
"79013",452,362,90
"79014",1200,761,439
"79015",5663,3392,2271
"79016",17,12,0
"79018",182,116,66
"79019",554,331,223
"79021",15,11,0
"79022",4441,2642,1799
"79024",90,62,28
"79025",38,23,15
"79027",1144,708,436
"79029",4723,3455,1268
"79031",263,160,103
"79032",37,23,14
"79033",9,0,0
"79034",92,65,27
"79035",1315,846,469
"79036",907,563,344
"79039",205,118,87
"79040",355,229,126
"79041",379,261,118
"79042",167,107,60
"79043",295,199,96
"79044",346,219,127
"79045",2905,1970,935
"79046",105,71,34
"79051",0,0,0
"79052",217,147,70
"79053",39,21,18
"79054",52,34,18
"79056",29,18,11
"79057",200,139,57
"79058",7,0,0
"79059",140,106,34
"79061",81,51,30
"79062",58,37,21
"79063",184,115,69
"79064",671,442,229
"79065",3051,2001,1050
"79068",807,472,335
"79070",1431,898,533
"79072",4000,2674,1326
"79078",69,46,23
"79079",427,282,145
"79080",74,44,30
"79081",853,526,327
"79082",62,40,22
"79083",336,216,120
"79084",726,494,232
"79085",0,0,0
"79086",463,328,135
"79087",147,90,57
"79088",1260,865,395
"79091",31,20,11
"79092",264,155,109
"79093",10,7,0
"79094",21,12,9
"79095",698,447,251
"79096",627,406,221
"79097",266,169,97
"79098",87,55,32
"79101",1209,803,406
"79102",2392,1419,973
"79103",2571,1592,979
"79104",1492,926,566
"79105",184,106,78
"79106",8486,5025,3461
"79107",6093,3845,2248
"79108",2930,1763,1167
"79109",15703,9269,6434
"79110",4703,2823,1880
"79111",171,109,62
"79118",6878,4169,2709
"79119",9071,5302,3769
"79121",3471,2008,1463
"79124",5533,3262,2271
"79201",1742,1137,605
"79220",15,15,0
"79225",258,178,80
"79226",705,451,254
"79227",458,319,139
"79229",71,61,10
"79230",11,7,0
"79231",8,7,0
"79233",30,24,6
"79234",11,8,0
"79235",834,628,206
"79236",31,25,6
"79237",72,50,22
"79239",28,18,10
"79240",15,10,0
"79241",512,356,156
"79243",26,19,7
"79244",155,117,38
"79245",733,527,206
"79247",15,12,0
"79248",293,224,62
"79250",296,222,74
"79251",26,19,7
"79252",1072,709,363
"79255",150,104,46
"79256",44,33,11
"79257",351,239,112
"79258",15,10,0
"79259",22,14,8
"79261",73,54,19
"79311",772,507,265
"79312",207,150,57
"79313",330,222,108
"79314",11,7,0
"79316",2773,1868,905
"79322",782,604,178
"79323",1124,743,381
"79324",9,0,0
"79325",442,259,183
"79326",8,0,0
"79329",964,627,337
"79330",46,31,15
"79331",1611,1071,540
"79336",4527,2986,1538
"79339",1630,1121,509
"79342",92,59,33
"79343",344,261,83
"79344",7,0,0
"79345",164,124,40
"79346",419,281,138
"79347",2722,1515,1207
"79350",171,113,58
"79351",241,175,66
"79353",0,0,0
"79355",307,212,95
"79356",710,576,134
"79357",633,501,132
"79358",329,219,110
"79359",399,276,123
"79360",1464,995,469
"79363",1543,996,547
"79364",1907,1265,642
"79366",604,382,222
"79367",161,103,58
"79369",14,10,0
"79370",368,314,54
"79371",540,297,243
"79372",249,182,67
"79373",796,545,251
"79376",23,14,9
"79377",33,27,6
"79378",42,29,13
"79379",119,81,38
"79380",30,21,9
"79381",350,237,113
"79382",2466,1602,864
"79401",1471,1003,462
"79403",3289,2254,1035
"79404",1766,1199,567
"79406",128,96,32
"79407",7001,4506,2495
"79410",2632,1724,908
"79411",1204,826,378
"79412",2962,2056,906
"79413",6925,4556,2369
"79414",4189,2791,1398
"79415",4294,2833,1461
"79416",11502,7339,4163
"79423",14183,9188,4995
"79424",22426,14250,8176
"79501",571,377,194
"79502",359,255,104
"79503",36,27,9
"79504",637,449,188
"79505",51,38,13
"79506",188,114,74
"79508",262,163,99
"79510",1279,836,443
"79511",220,145,75
"79512",916,631,285
"79517",59,36,23
"79518",16,12,0
"79519",25,14,11
"79520",419,264,155
"79521",930,684,246
"79525",450,280,170
"79526",273,157,116
"79527",73,48,25
"79528",180,127,53
"79529",343,244,99
"79530",77,52,25
"79532",100,73,27
"79533",54,40,14
"79534",15,9,6
"79535",51,29,22
"79536",764,516,248
"79537",42,23,19
"79538",42,26,16
"79539",31,26,0
"79540",20,16,0
"79541",201,122,79
"79543",184,113,71
"79544",101,76,25
"79545",335,190,145
"79546",496,334,162
"79547",121,101,20
"79548",34,25,9
"79549",3731,2316,1415
"79553",518,394,124
"79556",2859,1615,1244
"79560",29,18,11
"79561",51,38,13
"79562",1209,756,453
"79563",163,100,63
"79565",42,30,12
"79566",42,26,16
"79567",628,392,236
"79601",4782,3041,1741
"79602",6391,4053,2338
"79603",4357,2787,1570
"79605",6797,4392,2405
"79606",7916,4962,2954
"79607",68,42,26
"79699",8,0,0
"79701",7064,5073,1991
"79703",3912,2819,1093
"79705",10461,7294,3167
"79706",3982,2917,1065
"79707",9884,6695,3189
"79713",73,53,20
"79714",5686,3748,1938
"79718",157,103,54
"79719",219,131,88
"79720",5074,3086,1988
"79730",110,99,11
"79731",1007,708,299
"79733",16,12,0
"79734",838,656,182
"79735",4229,3380,849
"79738",65,50,15
"79739",459,264,195
"79741",58,46,12
"79742",70,56,14
"79743",57,48,9
"79744",194,129,65
"79745",1528,1088,440
"79748",11,10,0
"79749",73,52,21
"79752",580,450,130
"79754",14,10,0
"79755",71,61,10
"79756",2226,1794,432
"79758",500,368,132
"79759",16,8,0
"79761",6344,4567,1777
"79762",8277,5882,2395
"79763",6229,4682,1547
"79764",3819,2944,875
"79765",5189,3571,1618
"79766",1333,1071,262
"79770",13,8,0
"79772",5356,3094,2262
"79777",22,16,6
"79778",311,244,67
"79780",59,39,20
"79781",48,31,17
"79782",1132,836,296
"79783",34,24,10
"79785",11,7,0
"79788",83,66,17
"79789",168,114,54
"79821",860,577,283
"79830",2197,1466,726
"79831",418,283,135
"79834",56,40,16
"79835",2266,1517,749
"79836",1155,744,411
"79837",47,42,0
"79838",1368,887,481
"79839",493,339,154
"79842",158,105,53
"79843",1065,857,208
"79845",1757,1192,565
"79846",24,14,10
"79847",23,13,10
"79848",389,222,167
"79849",1898,1226,672
"79851",100,71,29
"79852",210,153,57
"79853",458,287,171
"79854",35,25,10
"79855",499,330,169
"79901",2043,1269,743
"79902",6505,4070,2435
"79903",4794,3022,1772
"79904",4968,3217,1751
"79905",5444,3478,1966
"79906",86,58,28
"79907",12425,8111,4314
"79908",49,33,15
"79911",2967,1816,1151
"79912",29244,18344,10900
"79915",8649,5565,3079
"79916",7,0,0
"79920",0,0,0
"79922",3716,2327,1389
"79924",10022,6598,3419
"79925",11474,7251,4220
"79927",8387,5546,2841
"79928",13486,8532,4954
"79930",5481,3545,1936
"79932",8549,5467,3082
"79934",4191,2639,1552
"79935",5289,3326,1963
"79936",28026,17867,10159
"79938",15866,9995,5871
"79942",16,10,6
